id,year,rating,budget,actors,directors,producers,stars,gross,genres,taglines,star_avg_0,star_avg_1,star_avg_2,star_avg_3,star_avg_4
3107713,1921,8.4,250000.0,"[88085L, 161082L, 161082L, 189717L, 286021L, 328497L, 383484L, 383484L, 383484L, 383491L, 424479L, 492194L, 525235L, 633222L, 633222L, 769871L, 780477L, 875460L, 1100558L, 1165752L, 1179065L, 1244278L, 1262059L, 1298277L, 1472229L, 1517547L, 1567116L, 1593287L, 1600552L, 1655847L, 1673029L, 1763611L, 1766832L, 2077806L, 2092754L, 2119066L, 2212067L, 2213252L, 2275324L, 2339462L, 2353978L, 2354297L, 2363513L, 2374019L, 2475269L, 2545998L, 2556771L, 2574384L, 2589665L, 2589678L, 2623094L, 2654352L, 2654626L, 2685745L, 2688925L, 2693644L, 2936715L, 2996242L, 3010028L, 3018739L, 3133410L, 3161912L, 3257262L, 3286872L, 3296294L, 3296623L, 3311885L, 3317024L]",[328497L],[328497L],"[1298277L, 1298277L, 3010028L, 3010028L, 383491L, 383491L, 328497L, 328497L, 88085L, 88085L, 2212067L, 2212067L, 2213252L, 2213252L, 161082L, 161082L, 189717L]",nan,"['Comedy', 'Drama', 'Family']","['This is the great film he has been working on for a whole year', 'This is the great picture upon which the famous comedian has worked a whole year.', '6 reels of Joy.']",nan,nan,nan,nan,nan
2831893,1922,8.0,nan,"[210818L, 569770L, 721295L, 726517L, 813729L, 828234L, 1386585L, 1726544L, 1728561L, 1990247L, 2002468L, 2021990L, 2023156L, 2098074L, 2738454L, 2917066L, 3101356L, 3101844L]",[1357503L],"[3436005L, 3489054L]","[1728561L, 2023156L, 3101844L, 1726544L, 2738454L, 210818L, 726517L, 721295L, 1386585L, 813729L]",nan,"['Horror', 'Mystery']",nan,nan,nan,nan,nan,nan
3096331,1925,8.3,923000.0,"[10786L, 12974L, 37860L, 51489L, 75996L, 88085L, 148648L, 161082L, 164583L, 169648L, 192268L, 220407L, 235985L, 237019L, 268903L, 285572L, 300223L, 328497L, 342686L, 371225L, 379236L, 436244L, 456725L, 492867L, 499475L, 535906L, 541458L, 566769L, 581651L, 583825L, 618231L, 620707L, 627436L, 662656L, 729425L, 738777L, 764616L, 777334L, 794931L, 802851L, 804619L, 826977L, 844243L, 852495L, 880147L, 923207L, 942118L, 972151L, 986120L, 1008320L, 1078061L, 1091530L, 1112973L, 1153740L, 1216308L, 1244278L, 1257373L, 1301682L, 1340634L, 1359236L, 1360595L, 1364618L, 1370513L, 1382674L, 1418344L, 1434168L, 1473623L, 1513424L, 1549399L, 1580775L, 1611598L, 1626774L, 1627027L, 1699510L, 1805519L, 1806128L, 1842301L, 1843083L, 1854558L, 1878444L, 1903524L, 1952419L, 1961639L, 1998712L, 2030922L, 2032845L, 2035858L, 2057145L, 2069339L, 2090591L, 2100997L, 2104932L, 2109894L, 2127391L, 2128457L, 2146037L, 2161686L, 2162357L, 2235680L, 2308237L, 2362287L, 2373970L, 2416856L, 2541688L, 2556771L, 2573153L, 2574422L, 2586427L, 2593154L, 2623172L, 2630123L, 2662501L, 2682308L, 2761985L, 2786296L, 2786296L, 2823778L, 2848943L, 2855834L, 2869964L, 2892531L, 2897110L, 2902183L, 2914267L, 2931400L, 2951859L, 2987698L, 2987703L, 3033786L, 3061561L, 3065281L, 3121642L, 3220380L, 3264797L, 3294035L, 3295563L]",[328497L],[328497L],"[328497L, 1878444L, 1360596L, 161082L, 2030922L, 2573153L, 10786L, 12974L, 2161686L, 2162357L]",nan,"['Adventure', 'Comedy', 'Drama']",nan,nan,nan,nan,nan,nan
2775569,1927,8.3,6000000.0,"[4114L, 27268L, 181002L, 490729L, 643960L, 681089L, 720893L, 930897L, 1017519L, 1050460L, 1145965L, 1585086L, 1597337L, 1599745L, 1791176L, 1858339L, 1997022L, 2022068L, 2243166L, 2262306L, 2504396L, 2519658L, 2556701L, 2597817L, 2597817L, 2610159L, 2740554L, 2740554L, 2767680L, 3134590L, 3261479L, 3279200L, 3301419L]",[1075596L],[1534774L],"[4114L, 643960L, 1017519L, 1585086L, 1145965L, 181002L, 681089L, 2597817L, 27268L, 2243166L]",nan,"['Drama', 'Sci-Fi']","[""Fritz Lang's 1927 Masterpiece Now With 25 Minutes of Lost Footage (2010 re-release)"", 'There can be no understanding between the hands and the brain unless the heart acts as mediator.']",nan,nan,nan,nan,nan
2363169,1931,8.6,1500000.0,"[31395L, 32100L, 32180L, 88085L, 88085L, 91954L, 103822L, 161082L, 161082L, 236572L, 328497L, 473870L, 489858L, 506163L, 563264L, 662656L, 723222L, 729871L, 777719L, 823016L, 826983L, 925924L, 982476L, 1074661L, 1197859L, 1244386L, 1364382L, 1474663L, 1580775L, 1593287L, 1634012L, 1763623L, 1799314L, 1834602L, 1863369L, 1875388L, 1988805L, 2029419L, 2043530L, 2067751L, 2256623L, 2317724L, 2338852L, 2364927L, 2517673L, 2582993L, 2632212L, 2752915L, 2943553L, 2998199L, 3301161L]",[328497L],[328497L],"[2338852L, 2752915L, 1364382L, 662656L, 1197859L, 328497L, 31395L, 32100L, 32180L, 88085L]",nan,"['Comedy', 'Drama', 'Romance']",nan,nan,nan,nan,nan,nan
2746723,1931,8.4,nan,"[174429L, 192785L, 301026L, 427913L, 539144L, 555432L, 702695L, 720893L, 738360L, 747616L, 764853L, 844526L, 930897L, 953420L, 970330L, 988641L, 992482L, 1043471L, 1102362L, 1130977L, 1141912L, 1145965L, 1149215L, 1149536L, 1270188L, 1388264L, 1388825L, 1388964L, 1414043L, 1426677L, 1483919L, 1527750L, 1531136L, 1531136L, 1532064L, 1591308L, 1597067L, 1600624L, 1608822L, 1623312L, 1681479L, 1835871L, 1841824L, 1844343L, 1956442L, 2032055L, 2039413L, 2041878L, 2063618L, 2145365L, 2452692L, 2510350L, 2541226L, 2640203L, 2738050L, 2767680L, 2778074L, 2820112L, 2855408L, 2886083L, 2922393L, 2928598L, 3102741L, 3237998L, 3261929L, 3289102L]",[1075596L],[3631742L],"[1149536L, 3289102L, 2738050L, 2063618L, 1145965L, 747616L, 702695L, 1426677L, 988641L, 1130977L]",nan,"['Crime', 'Drama', 'Thriller']",nan,8.3,8.3,8.3,8.3,8.3
2661715,1933,8.0,670000.0,"[8344L, 11931L, 29141L, 36678L, 58093L, 73557L, 83840L, 117481L, 119812L, 138695L, 145262L, 168489L, 187342L, 198081L, 198081L, 214954L, 222614L, 229748L, 229748L, 229782L, 242478L, 274364L, 290881L, 328411L, 355507L, 356370L, 361225L, 374144L, 379445L, 379446L, 386799L, 390799L, 419145L, 419553L, 427249L, 430549L, 445294L, 491789L, 492867L, 513250L, 522630L, 527295L, 529085L, 529429L, 531651L, 532340L, 537113L, 539117L, 559165L, 580699L, 607296L, 607863L, 611482L, 611488L, 615679L, 656182L, 657984L, 670392L, 683948L, 730161L, 732976L, 733606L, 765764L, 771003L, 787031L, 788799L, 793882L, 795125L, 797866L, 833072L, 833072L, 833072L, 846388L, 857095L, 891831L, 902500L, 911625L, 911625L, 934805L, 936121L, 981707L, 1006195L, 1011416L, 1021186L, 1023263L, 1030726L, 1067583L, 1116441L, 1143853L, 1143853L, 1177277L, 1182583L, 1202711L, 1210766L, 1217033L, 1227067L, 1227448L, 1246110L, 1252331L, 1257407L, 1282178L, 1302472L, 1310107L, 1317583L, 1347249L, 1403040L, 1409203L, 1412197L, 1415075L, 1418549L, 1420081L, 1420081L, 1420258L, 1421383L, 1421395L, 1480318L, 1499532L, 1501790L, 1502059L, 1511906L, 1534689L, 1538068L, 1541998L, 1542000L, 1543943L, 1546451L, 1546696L, 1566259L, 1582471L, 1594130L, 1597553L, 1632685L, 1635808L, 1643980L, 1711842L, 1712055L, 1715417L, 1726898L, 1752806L, 1754122L, 1764019L, 1771865L, 1781601L, 1805541L, 1816252L, 1839791L, 1843083L, 1849620L, 1852435L, 1860010L, 1865922L, 1870172L, 1893547L, 1906245L, 1909936L, 1919509L, 1924035L, 1926186L, 1963613L, 1964917L, 1990260L, 1991673L, 2014813L, 2028311L, 2029612L, 2033519L, 2034879L, 2046244L, 2046647L, 2046679L, 2046787L, 2064740L, 2072251L, 2081897L, 2083868L, 2103231L, 2104101L, 2174230L, 2298047L, 2382018L, 2389427L, 2389429L, 2430668L, 2432245L, 2439982L, 2459194L, 2478667L, 2512894L, 2520845L, 2535561L, 2564696L, 2600322L, 2600340L, 2623831L, 2659618L, 2765697L, 2819887L, 2820909L, 2842094L, 2883117L, 2902406L, 2920815L, 3118780L, 3121404L, 3153361L, 3177153L, 3180861L, 3274125L, 3293101L, 3306314L, 3306596L, 3317393L]","[386799L, 1726898L]","[386799L, 1726898L, 1746130L]","[3306596L, 73557L, 274364L, 1597553L, 787031L, 936121L, 361225L, 611488L, 1030726L, 8344L]",nan,"['Adventure', 'Fantasy', 'Horror']","[""A Monster of Creation's Dawn Breaks Loose in Our World Today!"", ""The Most Amazing Show On Any Screen ! Adventure to make you wonder if it's TRUE . . . while your very eyes convince you that it IS !"", 'The Most Awesome Thriller Of All Time', 'Out-leaping the maddest imaginings! Out-thrilling the wildest thrills!', 'The strangest story ever conceived by man.']",nan,nan,nan,nan,nan
2625842,1934,8.2,325000.0,"[10654L, 97214L, 101792L, 200948L, 220725L, 227402L, 246216L, 261115L, 263273L, 303249L, 326248L, 357836L, 380629L, 385027L, 405787L, 405845L, 419615L, 434260L, 499910L, 539117L, 558760L, 571505L, 627785L, 651083L, 662113L, 739677L, 748192L, 769765L, 772469L, 807508L, 849604L, 850872L, 865918L, 873956L, 895234L, 948674L, 972176L, 1000586L, 1138819L, 1245538L, 1521832L, 1549712L, 1633115L, 1660894L, 1719242L, 1730608L, 1735899L, 1746300L, 1785124L, 1839769L, 1919614L, 1934720L, 2029949L, 2035858L, 2039635L, 2062568L, 2064425L, 2089467L, 2090090L, 2106094L, 2116059L, 2196817L, 2356068L, 2414771L, 2491564L, 2504734L, 2508506L, 2771100L, 2835706L, 2843036L, 2889444L, 2934471L, 3030288L, 3059476L, 3062404L, 3148260L, 3184434L, 3190797L, 3193489L, 3228487L]",[292032L],"[292032L, 368756L]","[651083L, 2356068L, 380629L, 972176L, 1919614L, 769765L, 865918L, 2504734L, 2090090L, 10654L]",nan,"['Comedy', 'Romance']","['Two great lovers of the screen in the grandest of romantic comedies !', 'Together for the first time!']",nan,nan,nan,nan,nan
2787292,1936,8.6,1500000.0,"[20839L, 31906L, 115904L, 161082L, 192568L, 328497L, 379215L, 379236L, 662656L, 767276L, 775926L, 788799L, 891771L, 912699L, 1005658L, 1112587L, 1153088L, 1156568L, 1177283L, 1188841L, 1197859L, 1285454L, 1309825L, 1332341L, 1342977L, 1378145L, 1412813L, 1434509L, 1543943L, 1580775L, 1607584L, 1699510L, 1844571L, 2090888L, 2408465L, 2412473L, 2538306L, 2847175L, 3180876L]",[328497L],[328497L],"[328497L, 2538306L, 161082L, 1699510L, 379215L, 1197859L, 192568L, 662656L, 31906L, 1607584L]",nan,"['Comedy', 'Drama']","['He stands alone as the greatest entertainer of modern times! No one on earth can make you laugh as heartily or touch your heart as deeply...the whole world laughs, cries and thrills to his priceless genius!', 'Laugh . . . Cry and Thrill To his Genius . . !', ""You'll never laugh as long and as loud again as long as you live! The laughs come so fast and so furious you'll wish it would end before you collapse!""]",nan,nan,nan,nan,nan
3001074,1937,7.7,2000000.0,"[85773L, 252694L, 344546L, 373853L, 373853L, 373853L, 376409L, 376409L, 691319L, 788153L, 1236059L, 1436100L, 1557821L, 1854916L, 2322388L, 2392266L, 2731190L, 2731190L]","[397301L, 779672L, 905408L, 1335393L, 3654361L, 1760100L]",[495818L],"[85773L, 252694L, 2322388L, 344546L, 373853L, 376409L, 2392266L, 691319L, 788153L, 2731190L]",nan,"['Animation', 'Family', 'Fantasy', 'Musical', 'Romance']","[""Walt Disney's new characters in his first full-length production!"", 'The happiest, dopiest, grumpiest, sneeziest movie of the year.', 'See for yourself what the genius of Walt Disney has created in his first full-length feature production', ""Heigh Ho, Heigh Ho, We're Back!! (1958 re-release)"", 'Still the fairest of them all!', 'The best loved musical of all time.', 'The Show Sensation Of The Generation!', ""Walt Disney's first full length feature production."", 'Behold  - The Miracle Of The Movies! - Coming To Amaze You, Charm You, Thrill You!', 'The one that started it all.']",nan,nan,nan,nan,nan
