rating,genre avg rating,director avg rating,director in genres avg rating,star_0 avg rating,star_0 & director avg rating,star_0 in genres avg rating,star_1 avg rating,star_1 & director avg rating,star_1 in genres avg rating,star_2 avg rating,star_2 & director avg rating,star_2 in genres avg rating,stars_0-3 avg rating,stars_0-3 & director avg rating,stars_0-3 in genres avg rating,stars_3-6 avg rating,stars_3-6 & director avg rating,stars_3-6 in genres avg rating,stars_6-10 avg rating,stars_6-10 & director avg rating,stars_6-10 in genres avg rating
8.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.3,8.4,8.4,8.4,8.4,8.4,8.4,nan,nan,nan,nan,nan,nan,8.4,8.4,8.4,8.4,8.4,8.4,nan,nan,nan
8.3,8.350000000000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.6,8.333333333333334,8.350000000000001,8.350000000000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.333333333333334,8.333333333333334,8.333333333333334,8.350000000000001,8.350000000000001,8.350000000000001
8.4,8.333333333333334,8.3,8.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.3,8.3,8.3,nan,nan,nan
8.0,8.15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.2,8.433333333333332,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.6,8.366666666666665,8.433333333333332,8.433333333333332,8.433333333333332,8.433333333333332,8.433333333333332,nan,nan,nan,8.433333333333332,8.433333333333332,8.433333333333332,8.433333333333332,8.433333333333332,8.433333333333332,8.45,8.45,8.45,8.45,8.45,8.45
7.7,8.299999999999999,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.2,8.3125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.3,8.433333333333334,8.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.1,8.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7.8,8.05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7.5,8.05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.949999999999999,7.949999999999999,7.7,8.3,8.3,nan
8.2,8.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.5,8.366666666666667,8.475,8.475,8.475,8.475,8.475,nan,nan,nan,nan,nan,nan,8.475,8.475,8.475,7.7,7.7,nan,8.6,8.6,8.6
8.2,8.387500000000001,nan,nan,nan,nan,nan,8.2,8.2,8.2,nan,nan,nan,8.2,8.2,8.2,8.2,8.2,8.3,nan,nan,nan
8.4,8.333333333333334,nan,nan,nan,nan,nan,8.3,8.3,8.3,nan,nan,nan,8.3,8.3,8.3,nan,nan,nan,nan,nan,nan
7.3,7.9,7.8,7.8,nan,nan,nan,nan,nan,nan,8.1,8.1,8.1,8.1,8.1,8.1,7.7,7.7,7.7,7.85,7.85,7.5
8.2,8.333333333333334,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.4,8.4,8.4,8.2,8.2,8.2
7.4,7.800000000000001,7.8,7.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.866666666666667,7.866666666666667,7.6
8.6,8.307142857142859,nan,nan,8.2,8.2,8.2,nan,nan,nan,nan,nan,nan,8.2,8.2,8.2,8.25,8.25,8.25,8.3,8.3,8.3
8.1,8.399999999999999,8.25,8.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.375,8.375,8.3,nan,nan,nan
