rating,genre avg rating,director avg rating,director in genres avg rating,star_0 avg rating,star_0 & director avg rating,star_0 in genres avg rating,star_1 avg rating,star_1 & director avg rating,star_1 in genres avg rating,star_2 avg rating,star_2 & director avg rating,star_2 in genres avg rating,stars_0-3 avg rating,stars_0-3 & director avg rating,stars_0-3 in genres avg rating,stars_3-6 avg rating,stars_3-6 & director avg rating,stars_3-6 in genres avg rating,stars_6-10 avg rating,stars_6-10 & director avg rating,stars_6-10 in genres avg rating
8.4,8.4,nan,8.4,nan,nan,8.4,nan,nan,8.4,nan,nan,8.4,nan,nan,8.4,nan,nan,8.4,nan,nan,8.4
8.0,8.0,nan,8.0,nan,nan,8.0,nan,nan,8.0,nan,nan,8.0,nan,nan,8.0,nan,nan,8.0,nan,nan,8.0
8.3,8.34,8.4,8.34,8.4,8.4,8.34,nan,nan,8.3,nan,nan,nan,8.4,8.4,8.325000000000001,8.4,8.4,8.330769230769231,nan,nan,8.3
8.3,8.325000000000001,nan,8.3,nan,nan,8.3,nan,nan,8.3,nan,nan,8.3,nan,nan,8.3,nan,nan,8.3,nan,nan,8.3
8.6,8.433333333333334,8.350000000000001,8.457142857142856,nan,nan,8.6,nan,nan,8.6,nan,nan,8.6,nan,nan,8.6,8.333333333333334,8.333333333333334,8.493333333333332,8.350000000000001,8.350000000000001,8.547368421052632
8.4,8.399999999999999,8.3,8.375,nan,nan,8.4,nan,nan,8.4,nan,nan,8.4,nan,nan,8.4,8.3,8.3,8.39,nan,nan,8.4
8.0,8.059999999999999,nan,8.0,nan,nan,8.0,nan,nan,8.0,nan,nan,8.0,nan,nan,8.0,nan,nan,8.0,nan,nan,8.0
8.2,8.383333333333331,nan,8.2,nan,nan,8.2,nan,nan,8.2,nan,nan,8.2,nan,nan,8.2,nan,nan,8.2,nan,nan,8.2
8.6,8.42727272727273,8.433333333333332,8.475,8.433333333333332,8.433333333333332,8.475,nan,nan,8.6,8.459999999999999,8.459999999999999,8.483333333333336,8.45,8.45,8.490909090909092,8.45,8.45,8.540000000000001,8.45,8.45,8.55
7.7,7.966666666666669,nan,7.7,nan,nan,7.7,nan,nan,7.7,nan,nan,7.7,nan,nan,7.7,nan,nan,7.700000000000002,nan,nan,7.7
